snapshot_at,currency,day_label,instrument_name,expiry_str,option_type,strike,index_price,depth,mark_iv,delta,gamma,vega,theta,rho,mark_price,underlying_price,settlement_price,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-69500-C,5JUN26,C,69500.0,66451.09,1,43.86,0.06588,6e-05,5.78227,-56.71938,0.19943,0.0009,66417.74,0.00273932,0.0008,2.9,0.0009,22.6
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-69500-P,5JUN26,P,69500.0,66451.09,1,43.86,-0.93412,6e-05,5.78227,-75.23135,-3.00979,0.0472,66417.74,0.03841499,0.045,1.2,0.0495,1.2
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-63000-C,5JUN26,C,63000.0,66451.09,1,62.4,0.89744,6e-05,8.06771,-149.3453,2.58809,0.0536,66417.74,0.06344109,0.0225,10.2,0.0555,1.2
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-63000-P,5JUN26,P,63000.0,66451.09,1,62.4,-0.10256,6e-05,8.06771,-139.41202,-0.32099,0.0021,66417.74,0.00225501,0.0019,71.8,0.0022,2.4
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-70000-C,5JUN26,C,70000.0,66451.09,1,44.48,0.04245,5e-05,4.08155,-34.53464,0.12861,0.0005,66417.74,0.00179522,0.0005,1.4,0.0006,20.0
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-70000-P,5JUN26,P,70000.0,66451.09,1,44.48,-0.9577,4e-05,4.06909,-53.6934,-3.10417,0.0545,66414.2,0.04492179,0.0525,1.0,0.057,57.1
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-70500-C,5JUN26,C,70500.0,66451.09,1,45.67,0.02818,3e-05,2.9155,-22.1654,0.08541,0.0003,66414.2,0.00114286,0.0003,2.5,0.0004,20.0
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-70500-P,5JUN26,P,70500.0,66451.09,1,45.67,-0.97182,3e-05,2.9155,-39.50208,-3.16998,0.0618,66414.2,0.05172034,0.0595,0.9,0.09,10.2
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-62000-C,5JUN26,C,62000.0,66451.09,1,67.2,0.93687,4e-05,5.5935,-111.50365,2.6654,0.0678,66414.2,0.07761518,0.038,10.2,0.0695,1.2
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-62000-P,5JUN26,P,62000.0,66451.09,1,67.2,-0.06313,4e-05,5.5935,-84.41522,-0.1975,0.0013,66414.2,0.0015273,0.0012,23.2,0.0014,7.1
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-71000-C,5JUN26,C,71000.0,66451.09,1,47.6,0.02028,2e-05,2.21072,-15.91916,0.06145,0.0002,66414.2,0.00071536,0.0002,5.6,0.0003,20.0
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-71000-P,5JUN26,P,71000.0,66451.09,1,47.6,-0.97972,2e-05,2.21072,-31.21779,-3.21703,0.0692,66414.2,0.05874375,0.067,1.1,0.072,57.1
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-71500-C,5JUN26,C,71500.0,66451.09,1,49.02,0.01396,2e-05,1.60665,-10.79471,0.04232,0.0002,66414.2,0.00045581,0.0001,58.9,0.0002,20.0
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-71500-P,5JUN26,P,71500.0,66451.09,1,49.02,-0.98604,2e-05,1.60665,-23.36522,-3.25925,0.0767,66414.2,0.0659351,0.0745,1.1,0.079,1.2
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-61000-C,5JUN26,C,61000.0,66451.09,1,72.01,0.961,3e-05,3.80993,-81.38606,2.69472,0.0823,66414.2,0.09205253,0.0595,10.2,0.084,1.2
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-61000-P,5JUN26,P,61000.0,66451.09,1,72.01,-0.039,3e-05,3.80993,-51.74566,-0.122,0.0008,66414.2,0.00106283,0.0007,23.6,0.0009,20.6
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-72000-C,5JUN26,C,72000.0,66451.09,1,51.5,0.01101,1e-05,1.30798,-8.70503,0.03336,0.0001,66414.2,0.00027349,,,0.0002,28.0
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-72000-P,5JUN26,P,72000.0,66451.09,1,51.5,-0.98899,1e-05,1.30798,-19.98383,-3.29129,0.0842,66414.2,0.07320369,0.082,1.1,0.0865,1.1
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-72500-C,5JUN26,C,72500.0,66451.09,1,54.07,0.00894,1e-05,1.09074,-7.25561,0.02709,0.0001,66414.2,0.00021989,,,0.0002,20.0
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-72500-P,5JUN26,P,72500.0,66451.09,1,54.07,-0.99106,1e-05,1.09074,-17.49505,-3.32066,0.0917,66414.2,0.08060099,0.073,10.1,0.0945,1.1
